Diio,Fundo,Tipo ganado,Fecha nacimiento,Estado reproductivo,Estado leche,Motivo,Detalle,Fecha baja,Creado por,Fecha creado
19861060,Arriendo las quebradas ,Ternera,"""2020-09-15T00:00:00.000Z""",,,Muerte,cae pozo,"""2021-07-09T00:00:00.000Z""",guentrepan,"""2021-07-13T00:00:00.000Z"""
4264676,San Pedro,Vaca,"""2013-02-15T00:00:00.000Z""",Preñada,En Leche,paralisis ruminal,paralisis ruminal,"""2021-07-01T00:00:00.000Z""",Diego,"""2021-07-05T00:00:00.000Z"""
16464125,San Pedro,Toro,"""2018-08-17T00:00:00.000Z""",,,Muerte,sin diagnostico,"""2021-06-11T00:00:00.000Z""",Diego,"""2021-06-15T00:00:00.000Z"""
18954685,San Pedro,Ternero,"""2020-09-13T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
19297416,San Pedro,Novillo,"""2020-04-15T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
18055089,San Pedro,Novillo,"""2020-07-15T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
18814503,San Pedro,Novillo,"""2020-07-15T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
18954735,San Pedro,Ternero,"""2020-10-06T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
15845744,San Pedro,Vaca,"""2017-07-15T00:00:00.000Z""",Vacía,En Leche,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
15748735,San Pedro,Vaca,"""2017-07-15T00:00:00.000Z""",Vacía,En Leche,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
18954726,San Pedro,Ternera,"""2020-10-05T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
18954700,San Pedro,Ternero,"""2020-10-02T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
18954695,San Pedro,Ternera,"""2020-10-02T00:00:00.000Z""",,,otros,baja inventario,"""2021-06-09T00:00:00.000Z""",Diego,"""2021-06-09T00:00:00.000Z"""
